make,model,avg_city,avg_highway,avg_combined
Acura,Mdx,15.0,20.7,17.0
Acura,Rdx,17.0,22.0,19.0
Acura,Rl,16.0,23.6,18.8
Acura,Tl,17.8,26.2,20.8
Acura,Tsx,19.7,28.1,22.8
Audi,A3,20.3,27.7,23.3
Audi,A4,17.9,26.1,20.9
Audi,A5,16.8,26.8,20.2
Audi,A6,16.2,23.3,18.9
Audi,A8,15.0,22.2,17.5
Audi,S4,14.0,20.8,16.5
Audi,Tt,18.6,26.3,21.4
Bmw,128I,18.1,27.8,21.2
Bmw,323I,17.3,25.4,20.1
Bmw,325I,17.8,26.3,20.7
Bmw,325Xi,17.1,24.3,19.8
Bmw,328I,17.5,26.3,20.6
Bmw,328Xi,17.0,25.2,20.0
Bmw,330Ci,17.1,25.5,20.2
Bmw,335I,17.0,25.8,20.0
Bmw,5-Series,16.3,24.1,19.1
Bmw,645Ci,14.7,22.5,17.5
Bmw,650I,14.4,21.6,17.0
Bmw,X3,15.5,22.8,18.4
Bmw,X5,13.8,19.2,16.0
Bmw,Z3,17.9,25.3,20.4
Bmw,Z4,17.6,26.4,20.6
Buick,Century,17.8,26.5,20.9
Buick,Enclave,16.2,23.0,18.5
Buick,Lacrosse,16.9,26.0,20.3
Buick,Lesabre,17.2,26.9,20.5
Buick,Lucerne,15.9,24.2,19.0
Buick,Rainier,13.9,19.2,16.0
Buick,Regal,16.7,26.3,20.1
Buick,Rendezvous,16.4,22.9,18.8
Cadillac,Cts,16.2,24.8,19.2
Cadillac,Deville,15.4,24.2,18.5
Cadillac,Dts,15.0,22.5,18.0
Cadillac,Eldorado,15.1,24.2,18.2
Cadillac,Escalade,12.2,16.8,13.7
Cadillac,Seville,15.4,24.3,18.5
Cadillac,Srx,13.9,20.5,16.3
Cadillac,Sts,15.4,23.6,18.2
Chevrolet,Astro,14.0,18.5,15.7
Chevrolet,Avalanche,13.1,17.7,14.6
Chevrolet,Aveo,23.6,32.4,26.9
Chevrolet,Blazer,14.3,19.3,16.2
Chevrolet,C2500,,,
Chevrolet,Camaro,16.3,25.7,19.5
Chevrolet,Cobalt,22.1,30.9,25.3
Chevrolet,Colorado,16.2,21.9,18.3
Chevrolet,Equinox,16.7,23.4,19.1
Chevrolet,Express,12.6,16.5,14.0
Chevrolet,Hhr,20.7,29.0,23.6
Chevrolet,Impala,17.4,27.1,20.8
Chevrolet,K1500,12.8,16.9,14.4
Chevrolet,Lumina,16.8,23.5,19.0
Chevrolet,Malibu,19.3,28.2,22.6
Chevrolet,Monte Carlo,17.9,27.6,21.0
Chevrolet,S-10,16.8,22.2,18.9
Chevrolet,Silverado,13.6,17.9,15.2
Chevrolet,Suburban,12.8,17.2,14.2
Chevrolet,Tahoe,13.3,17.5,14.8
Chevrolet,Tracker,19.4,22.6,20.6
Chevrolet,Trailblazer,13.5,18.7,15.5
Chevrolet,Traverse,16.5,23.5,19.0
Chevrolet,Uplander,15.8,22.6,18.4
Chevrolet,Venture,16.5,23.2,19.0
Chevrolet,W3500,,,
Chrysler,300C,15.0,22.0,18.0
Chrysler,300M,16.0,24.3,19.0
Chrysler,Aspen,13.7,18.5,15.3
Chrysler,Concorde,17.0,25.4,20.1
Chrysler,Crossfire,16.6,23.6,19.2
Chrysler,Lebaron,18.0,26.0,21.0
Chrysler,Pacifica,15.1,21.6,17.3
Chrysler,Pt Cruiser,18.6,24.7,20.9
Chrysler,Sebring,18.4,26.3,21.2
Chrysler,Town And Country,15.4,22.0,17.8
Dodge,Avenger,18.3,27.2,21.5
Dodge,Caliber,22.0,27.0,23.9
Dodge,Caravan,17.0,22.2,18.8
Dodge,Charger,15.8,23.0,18.5
Dodge,Dakota,13.7,18.3,15.3
Dodge,Durango,12.6,17.3,14.3
Dodge,Grand Caravan,16.4,22.7,18.7
Dodge,Journey,16.7,23.3,18.7
Dodge,Magnum,15.7,22.8,18.6
Dodge,Nitro,15.7,21.2,17.8
Dodge,Ram,12.1,16.4,13.7
Dodge,Stratus,18.6,26.5,21.4
Ford,Crown Victoria,14.6,21.5,17.1
Ford,E-150,12.4,16.7,14.0
Ford,E-250,11.7,15.8,13.2
Ford,E-350,,,
Ford,E-350 Super Duty,,,
Ford,E-450,,,
Ford,Econoline,12.3,16.6,13.9
Ford,Edge,15.8,22.8,18.5
Ford,Escape,20.7,24.6,22.1
Ford,Expedition,12.2,16.8,13.9
Ford,Explorer,14.3,19.0,16.0
Ford,F-150,12.9,17.2,14.5
Ford,F-250,12.0,16.3,13.6
Ford,F-350,,,
Ford,F-450,,,
Ford,Five Hundred,18.0,24.6,20.0
Ford,Flex,16.5,23.0,18.5
Ford,Focus,22.4,29.9,25.2
Ford,Freestar,15.5,21.4,17.6
Ford,Freestyle,17.5,23.5,19.5
Ford,Fusion,18.9,27.2,21.9
Ford,Mustang,15.9,23.6,18.7
Ford,Ranger,17.4,21.7,18.9
Ford,Super Duty,,,
Ford,Taurus,16.9,24.7,19.6
Ford,Thunderbird,15.7,22.8,18.2
Ford,Windstar,15.5,21.9,17.9
Gmc,Acadia,16.2,23.2,18.7
Gmc,Canyon,16.2,21.9,18.3
Gmc,Envoy,13.6,18.9,15.6
Gmc,Jimmy,14.4,19.4,16.3
Gmc,Savana,12.9,16.9,14.3
Gmc,Sierra,13.5,17.8,15.1
Gmc,Sonoma,16.0,21.6,18.1
Gmc,Yukon,13.0,17.3,14.5
Honda,Accord,20.3,28.0,23.0
Honda,Civic,28.1,35.5,31.0
Honda,Cr-V,19.5,24.2,21.5
Honda,Element,18.8,23.4,20.6
Honda,Fit,27.3,33.9,30.0
Honda,Odyssey,16.8,23.6,19.2
Honda,Pilot,15.5,21.2,17.5
Honda,Prelude,19.5,24.6,21.4
Honda,Ridgeline,15.0,20.0,17.0
Hummer,H3,13.7,17.6,15.2
Hyundai,Accent,24.4,32.7,27.6
Hyundai,Azera,17.3,26.0,20.3
Hyundai,Elantra,21.1,29.3,24.2
Hyundai,Genesis,17.5,26.0,20.0
Hyundai,Santa Fe,17.0,23.1,19.1
Hyundai,Sonata,18.7,26.7,21.5
Hyundai,Tucson,18.7,24.2,20.8
Hyundai,Veracruz,15.5,22.5,18.0
Hyundai,Xg350,15.5,24.0,18.5
Infiniti,Ex35,16.5,23.5,19.0
Infiniti,Fx35,15.1,21.1,17.5
Infiniti,G35,16.6,23.5,19.3
Infiniti,G35X,17.0,23.0,19.0
Infiniti,G37,17.2,25.1,20.1
Infiniti,I35,17.0,24.0,20.0
Infiniti,M35,16.2,23.2,18.6
Infiniti,M35X,16.0,22.0,18.0
Infiniti,Qx56,12.0,17.4,14.0
Isuzu,Rodeo,15.5,19.5,16.9
Jaguar,S-Type,15.7,23.5,18.5
Jaguar,X-Type,16.2,23.6,18.8
Jeep,Cherokee,15.4,19.9,17.1
Jeep,Commander,13.7,18.4,15.2
Jeep,Compass,22.0,26.3,23.7
Jeep,Grand Cherokee,13.8,18.7,15.5
Jeep,Liberty,15.2,20.7,17.3
Jeep,Patriot,21.6,25.6,23.2
Jeep,Wrangler,14.8,18.0,16.1
Kia,Optima,19.3,27.1,22.2
Kia,Rio,23.8,30.9,26.8
Kia,Rondo,18.7,26.0,21.3
Kia,Sedona,15.0,21.2,17.1
Kia,Sorento,14.5,19.7,16.3
Kia,Spectra,21.4,29.4,24.5
Kia,Spectra5,,,
Kia,Sportage,17.6,21.8,19.4
Land Rover,Range Rover,11.6,16.4,13.3
Lexus,Es,17.9,25.9,20.7
Lexus,Gs,17.3,23.4,19.6
Lexus,Gx,14.0,17.7,15.0
Lexus,Is,18.0,25.0,20.3
Lexus,Ls,16.6,23.3,19.0
Lexus,Rx,18.4,22.5,20.0
Lexus,Sc,16.3,22.1,18.4
Lincoln,Aviator,11.7,16.7,13.5
Lincoln,Mark Viii,15.8,23.8,18.5
Lincoln,Mks,16.5,23.5,19.0
Lincoln,Mkx,15.8,22.8,18.5
Lincoln,Mkz,17.2,25.5,20.0
Lincoln,Navigator,11.3,15.9,13.0
Lincoln,Town Car,15.3,22.8,18.1
Lincoln,Zephyr,17.0,26.0,20.0
Mazda,626,19.8,26.3,22.2
Mazda,Cx-7,16.5,22.3,18.7
Mazda,Cx-9,15.5,21.5,17.5
Mazda,Mazda3,22.4,29.8,25.2
Mazda,Mazda5,20.2,26.0,22.5
Mazda,Mazda6,18.5,25.9,21.1
Mazda,Mpv,15.2,20.4,17.1
Mazda,Tribute,19.9,24.3,21.5
Mercury,Cougar,18.0,26.5,21.0
Mercury,Grand Marquis,15.3,22.9,18.1
Mercury,Mariner,21.0,24.5,22.2
Mercury,Milan,18.9,27.2,21.9
Mercury,Montego,18.0,24.6,20.0
Mercury,Mountaineer,13.3,18.4,15.2
Mercury,Mystique,19.2,28.3,22.6
Mercury,Sable,17.1,24.9,19.8
Mini,Cooper,23.3,31.4,26.4
Mini,John Cooper Works,26.0,34.0,29.0
Mitsubishi,Eclipse,18.4,26.1,21.2
Mitsubishi,Endeavor,15.2,20.5,17.5
Mitsubishi,Galant,18.6,25.9,21.3
Mitsubishi,Lancer,20.2,26.8,22.6
Mitsubishi,Mirage,24.6,32.0,27.4
Mitsubishi,Montero,14.8,18.3,16.1
Mitsubishi,Outlander,18.3,24.2,20.7
Nissan,350Z,17.0,23.6,19.5
Nissan,Altima,20.7,27.7,23.3
Nissan,Armada,12.0,17.5,14.0
Nissan,Cube,26.0,29.5,27.5
Nissan,Frontier,15.6,19.5,17.1
Nissan,Maxima,18.3,25.5,20.9
Nissan,Murano,17.8,23.0,19.8
Nissan,Pathfinder,14.2,18.2,15.6
Nissan,Quest,15.9,22.6,18.4
Nissan,Rogue,21.5,26.5,23.5
Nissan,Sentra,22.5,29.7,25.2
Nissan,Titan,12.4,17.1,14.1
Nissan,Versa,25.8,32.4,28.2
Nissan,Xterra,14.8,19.0,16.3
Oldsmobile,Alero,19.6,28.8,23.0
Oldsmobile,Aurora,15.4,23.7,18.3
Oldsmobile,Bravada,14.1,19.1,15.8
Pontiac,G5,24.5,34.5,28.3
Pontiac,G6,18.0,26.9,21.2
Pontiac,Grand Am,19.3,28.6,22.6
Pontiac,Gto,14.8,21.7,17.3
Pontiac,Montana,16.2,22.8,18.7
Pontiac,Solstice,18.7,25.8,21.2
Pontiac,Sunfire,20.4,29.6,23.8
Pontiac,Torrent,16.7,23.5,19.2
Pontiac,Vibe,23.7,30.3,26.3
